field_id,year,field_tillable_area,field_calculated_area,field_lat,field_long,ops_count_total,ops_count_soil,ops_count_application,ops_count_harvesting,ops_count_seeding,ops_count_tillage,ops_count_spraying,ops_npk_n_total,ops_npk_p_total,ops_npk_k_total,ops_npk_total,ops_season_start,ops_season_end,ops_season_duration_days,ops_days_seeding_to_harvest,ops_yield_t_ha,crop_id,crop_name,crop_season_type,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_min_season,ndvi_std_season,ndvi_early,ndvi_mid,ndvi_late,ndvi_trend,ndvi_green_period_days,ndvi_peak_date,ndvi_peak_doy,ndvi_integral,ops_days_seeding_to_ndvi_peak,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,weather_temp_min_mean,weather_temp_min_min,weather_temp_min_max,weather_temp_avg_mean,weather_temp_avg_min,weather_temp_avg_max,weather_temp_max_mean,weather_temp_max_min,weather_temp_max_max,weather_precip_sum,weather_precip_mean,weather_snow_mean,weather_snow_max,target_yield_t_ha,prev_crop_id
195,2021,123.0,122.42127,50.42198096600295,82.4644614849937,7,2,4,1,0,0,0,18.675862068965518,0.0,0.0,18.675862068965518,2021-04-19,2021-08-22,124.0,113.0,2.022276422764228,3.0,Ячмень яровой,spring,101,0.38886138613861376,0.753,0.18,0.20605824563472194,0.33291666666666664,0.5433658536585365,0.20883333333333334,-0.001126290040768785,38,2021-07-18,199.0,75.446,68.0,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,-1.4575342465753425,-41.6,19.1,3.88682191780822,-37.81,25.95,10.00054794520548,-32.3,35.5,488.5,1.3383561643835618,33.026666666666664,73.0,35.18,20.0
195,2022,123.0,122.42127,50.42198096600295,82.4644614849937,12,4,6,1,0,0,0,35.9179945799458,23.0,0.0,58.9179945799458,2021-08-02,2022-08-10,373.0,350.0,2.1216260162601626,44.0,Пшеница озимая,winter,119,0.330579831932773,0.686,0.174,0.1676338067011665,0.38509756097560977,0.4302972972972972,0.1860731707317073,-0.002153546503347101,43,2022-06-26,177.0,66.33200000000002,292.0,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,-1.3495616438356164,-36.4,20.3,4.331150684931506,-32.91,27.13,11.111698630136988,-28.0,39.5,386.7,1.0594520547945203,31.98639455782313,49.0,24.872,3.0
195,2023,123.0,122.42127,50.42198096600295,82.4644614849937,13,4,6,1,0,0,0,18.946048780487807,50.0390243902439,0.0,68.98507317073171,2022-07-27,2023-08-10,379.0,355.0,0.8904065040650406,44.0,Пшеница озимая,winter,101,0.3539999999999999,0.617,0.171,0.1146471979596536,0.32346666666666674,0.4486111111111112,0.2524,0.0005097379149679658,44,2023-08-18,230.0,69.64800000000001,355.0,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,0.3868219178082192,-34.3,22.7,5.611232876712329,-29.65,29.31,12.118575342465752,-27.0,40.2,553.4,1.5161643835616438,35.55263157894737,68.0,18.031,44.0
195,2024,123.0,122.42127,50.42198096600295,82.4644614849937,14,7,5,1,0,0,0,10.5,48.300000000000004,0.0,58.800000000000004,2023-06-01,2024-09-29,486.0,156.0,2.7365853658536587,40.0,Подсолнечник,spring,95,0.4647052631578946,0.801,0.176,0.2222727801639052,0.25321875,0.7075641025641026,0.35204166666666675,0.002248558230683089,46,2024-07-14,196.0,84.49350000000001,65.0,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,0.0183060109289618,-39.6,21.1,4.952076502732241,-34.39,27.8,10.5448087431694,-27.5,37.1,465.5,1.2718579234972678,29.1294964028777,68.0,33.274,44.0
195,2025,123.0,122.42127,50.42198096600295,82.4644614849937,17,7,8,1,0,0,0,57.79559984469431,0.0,0.0,57.79559984469431,2024-07-22,2025-09-18,423.0,136.0,2.7195121951219514,43.0,Пшеница яровая,spring,108,0.391462962962963,0.758,0.148,0.2090282557444089,0.34046666666666664,0.6153636363636364,0.22166666666666668,-0.0002685701220383556,41,2025-07-15,196.0,76.84949999999998,63.0,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,-0.0516483516483516,-31.1,19.6,5.393653846153846,-25.49,27.26,11.020054945054945,-21.4,37.0,996.74,2.738296703296703,1.5039010989010988,7.13,28.708,40.0
197,2021,343.0,343.71311,50.43149523573457,82.4485335081973,10,3,5,1,0,0,0,19.87878787878788,0.0,0.0,19.87878787878788,2021-04-20,2021-08-23,125.0,114.0,2.5284548104956266,3.0,Ячмень яровой,spring,100,0.41131999999999996,0.758,0.15,0.22128695571062648,0.3337777777777778,0.6004750000000001,0.21237499999999998,-0.0007633603360336032,42,2021-07-05,186.0,79.30900000000001,57.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,-1.4575342465753425,-41.6,19.1,3.88682191780822,-37.81,25.95,10.00054794520548,-32.3,35.5,488.5,1.3383561643835618,33.026666666666664,73.0,37.068,20.0
197,2022,343.0,343.71311,50.43149523573457,82.4485335081973,13,4,7,1,0,0,0,43.49387755102041,23.0,0.0,66.4938775510204,2021-08-02,2022-09-21,415.0,349.0,1.5206997084548106,44.0,Пшеница озимая,winter,122,0.33736065573770485,0.727,0.155,0.18717380730677893,0.37558139534883717,0.4685555555555555,0.18930232558139537,-0.001984905211469135,36,2022-07-04,185.0,69.08250000000001,299.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,-1.3495616438356164,-36.4,20.3,4.331150684931506,-32.91,27.13,11.111698630136988,-28.0,39.5,386.7,1.0594520547945203,31.98639455782313,49.0,32.342,3.0
197,2023,343.0,343.71311,50.43149523573457,82.4485335081973,13,4,6,1,0,0,0,82.52179739365626,48.52128279883382,0.0,131.0430801924901,2022-07-27,2023-08-20,389.0,365.0,1.0820991253644316,44.0,Пшеница озимая,winter,103,0.3620776699029125,0.644,0.166,0.13171744039542121,0.29747826086956525,0.5124722222222222,0.24576190476190474,0.0013105588015639423,43,2023-08-18,230.0,72.17500000000001,358.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,0.3868219178082192,-34.3,22.7,5.611232876712329,-29.65,29.31,12.118575342465752,-27.0,40.2,553.4,1.5161643835616438,35.55263157894737,68.0,21.737,44.0
197,2024,343.0,343.71311,50.43149523573457,82.4485335081973,14,7,5,1,0,0,0,10.4,47.84,0.0,58.24,2023-06-01,2024-10-02,489.0,159.0,3.2877551020408164,40.0,Подсолнечник,spring,101,0.4760495049504951,0.798,0.144,0.22322313393721643,0.2570606060606061,0.7174634146341463,0.3771111111111111,0.0021323238206173564,55,2024-07-19,201.0,90.15149999999998,72.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,0.0183060109289618,-39.6,21.1,4.952076502732241,-34.39,27.8,10.5448087431694,-27.5,37.1,465.5,1.2718579234972678,29.1294964028777,68.0,32.481,44.0
197,2025,343.0,343.71311,50.43149523573457,82.4485335081973,15,7,6,1,0,0,0,57.79559984469971,0.0,0.0,57.79559984469971,2024-07-22,2025-08-17,391.0,108.0,3.779416909620991,43.0,Пшеница яровая,spring,112,0.4015982142857143,0.762,0.167,0.20366424674495007,0.34395652173913044,0.5923142857142857,0.2718064516129032,0.00020825076024191127,41,2025-07-10,191.0,78.90999999999998,58.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,-0.0516483516483516,-31.1,19.6,5.393653846153846,-25.49,27.26,11.020054945054945,-21.4,37.0,996.74,2.738296703296703,1.5039010989010988,7.13,31.238,40.0
207,2021,110.91,110.91329,50.41868820400116,82.45505975772673,7,2,4,1,0,0,0,19.516483516483515,0.0,0.0,19.516483516483515,2021-04-19,2021-08-24,126.0,115.0,3.525020286718961,3.0,Ячмень яровой,spring,99,0.3842121212121213,0.754,0.171,0.21777704723077818,0.3195555555555556,0.564974358974359,0.1874583333333333,-0.001038787878787876,37,2021-07-17,198.0,74.4635,66.0,6.875,3.55,244.935,425.663535,5.4125,,412.5,,,-1.4575342465753425,-41.6,19.1,3.88682191780822,-37.81,25.95,10.00054794520548,-32.3,35.5,488.5,1.3383561643835618,33.026666666666664,73.0,31.641,20.0
