,0
soil_sample_latest_soil_B,0.8611111111111112
soil_sample_mean_soil_B,0.8611111111111112
soil_sample_latest_soil_N,0.8611111111111112
soil_sample_mean_soil_N,0.8611111111111112
ndvi_at_das_120,0.8555555555555555
ndvi_at_sow_gdd_1200,0.85
ndvi_at_das_90,0.8222222222222222
scout_growth_stage_max,0.6555555555555556
scout_growth_stage_last,0.6555555555555556
scout_condition_score_last,0.5944444444444444
scout_condition_score_min,0.5944444444444444
scout_last_report_doy,0.5277777777777778
scout_days_since_last_report,0.5277777777777778
scout_threat_weed_any,0.5277777777777778
scout_risk_yield_decreasing_n,0.5277777777777778
scout_threat_reports_n,0.5277777777777778
scout_threat_disease_any,0.5277777777777778
scout_risk_yield_decreasing_any,0.5277777777777778
scout_threat_total_n,0.5277777777777778
scout_condition_not_good_n,0.5277777777777778
scout_condition_bad_n,0.5277777777777778
scout_threat_insect_any,0.5277777777777778
ndvi_at_das_75,0.4388888888888889
soil_sample_latest_soil_N_NO3,0.40555555555555556
ndvi_at_sow_gdd_1000,0.40555555555555556
soil_sample_mean_soil_N_NO3,0.28888888888888886
ndvi_at_das_60,0.28888888888888886
ndvi_at_sow_gdd_800,0.2833333333333333
wx_sow_dry_days,0.2777777777777778
wx_sow_hot_d30,0.2777777777777778
wx_sow_vpd_days_high,0.2777777777777778
wx_sow_vpd_max,0.2777777777777778
gdd_from_sowing_asof,0.2777777777777778
wx_sow_water_balance,0.2777777777777778
wx_sow_et0_sum,0.2777777777777778
wx_sow_precip_sum,0.2777777777777778
gdd_base_temp,0.2777777777777778
ndvi_sow_n_obs,0.2777777777777778
wx_sow_drought_run,0.2777777777777778
ndvi_at_sow_gdd_600,0.2777777777777778
ndvi_sow_mean,0.2777777777777778
ndvi_sow_max,0.2777777777777778
ndvi_sow_last,0.2777777777777778
ndvi_sow_peak_das,0.2777777777777778
ndvi_at_das_30,0.2777777777777778
ndvi_at_das_45,0.2777777777777778
ndvi_sow_peak_gdd,0.2777777777777778
ndvi_at_sow_gdd_200,0.2777777777777778
ndvi_at_sow_gdd_400,0.2777777777777778
days_after_sowing_asof,0.2777777777777778
ndvi_growth_per_100gdd_from_sow,0.2777777777777778
sowing_doy,0.2777777777777778
wx_sow_srad_sum,0.2777777777777778
soil_sample_mean_soil_S,0.26666666666666666
soil_sample_latest_soil_Cu,0.26666666666666666
soil_sample_latest_soil_Mo,0.26666666666666666
soil_sample_mean_soil_Mo,0.26666666666666666
soil_sample_latest_soil_Zn,0.26666666666666666
soil_sample_mean_soil_Zn,0.26666666666666666
soil_sample_latest_soil_pH,0.26666666666666666
soil_sample_mean_soil_pH,0.26666666666666666
soil_sample_mean_soil_Mg,0.26666666666666666
soil_sample_latest_soil_Mg,0.26666666666666666
soil_sample_latest_soil_organic_matter,0.26666666666666666
soil_sample_mean_soil_organic_matter,0.26666666666666666
soil_sample_mean_soil_Fe,0.26666666666666666
